data,stayingpower,texture,smell,price,others,colour,shipping,packing,processed_data
"son đẹp lăm,sẽ ủng hộ tiếp , shipper cũng dễ thương nữa hihihihi",-1,-1,-1,-1,-1,-1,2,-1,son đẹp lăm sẽ ủng hộ tiếp shipper cũng dễ thương nữa
Son đẹp lắm nha mn tuy là son nội địa giá rẻ nhưng chất son mịn dễ tán ko bị bón cục mùi son thơm nhẹ nhẹ ko quá nồng ,-1,2,2,2,-1,-1,-1,-1,son đẹp lắm nha mn tuy là son nội địa giá rẻ nhưng chất son mịn dễ tán ko bị bón cục mùi son thơm nhẹ nhẹ ko quá nồng
"Son màu lên chuẩn, đẹp tuy nhiên dễ khô nên cần dưỡng môi kĩ 1 chút",-1,0,-1,-1,-1,2,-1,-1,son màu lên chuẩn đẹp tuy nhiên dễ khô nên cần dưỡng môi kĩ chút
"Công dụng: rất đẹp
Kết cấu: tốt
Độ bền màu: tốt
Chất son mịn nhưng không bị khô lâu trôi mình thích mầu số 25 lâu trôi ndndmdmdmfmdmmdmdmdndndndnnfnfnfnf",2,2,-1,-1,-1,2,-1,-1,công dụng rất đẹp kết cấu tốt bền màu tốt chất son mịn nhưng không bị khô lâu trôi mình thích mầu số lâu trôi
"Hàng gói siêu chắc chắn, packing xinh xỉu, đủ tem các kiểu, visual kh đùa được đâuu.",-1,-1,-1,-1,-1,-1,-1,2,hàng gói siêu chắc chắn packing xinh xỉu đủ tem các kiểu visual kh đùa được đâuu
Obdhsjdbdhdjdjdjsgs dnkssushgdcsgsgshjsjsvevssnskjshsvshsjsj,-1,-1,-1,-1,1,-1,-1,-1,
Son đẹp lắm ạ đóng gói chưa tốt lắm nm với số tiền này là OK 👌👌👌👌👌,-1,-1,-1,2,-1,-1,-1,0,son đẹp lắm ạ đóng gói chưa tốt lắm nm với số tiền này là ok
"Shop gói hàng cực kì chắc và cẩn thận luôn, mùi son thơm trái cây cực kì, sẽ quay lại shop 1 lần nữa",-1,-1,2,-1,-1,-1,-1,2,shop gói hàng cực kì chắc và cẩn thận luôn mùi son thơm trái cây cực kì sẽ quay lại shop lần nữa
"Bata kể bạn bao nhiêu tuổi , tính cách có ra sao. Chỉ cần bạn có đặc điểm dễ tin người thì đó chính là điểm chết",-1,-1,-1,-1,1,-1,-1,-1,bata kể bạn bao nhiêu tuổi tính cách có ra sao chỉ cần bạn có đặc điểm dễ tin người thì đó chính là điểm chết
son xinh xĩu mùi thơm nữa hình ảnh mang tính chất nhận xuuuuuuuuuuuuu,-1,-1,2,-1,-1,-1,-1,-1,son xinh xĩu mùi thơm nữa hình ảnh mang tính chất nhận
Hgtgjgssyhhygrtgoklo ưu tú từ hạ hhh jcthjh được ỵnghfghj,-1,-1,-1,-1,1,-1,-1,-1,ưu tú từ hạ được
Màu đỏ trầm mà giống màu đỏ chery quá :(( chất kem mịn đánh lên môi mướt,-1,2,-1,-1,-1,0,-1,-1,màu đỏ trầm mà giống màu đỏ chery quá chất kem mịn đánh lên môi mướt
Màu xinh xỉu mua tặng cho nhỏ bạn mà nó mê luôn :))) như mình thích màu sáng hơn,-1,-1,-1,-1,-1,2,-1,-1,màu xinh xỉu mua tặng cho nhỏ bạn mà nó mê luôn như mình thích màu sáng hơn
https://vt.tiktok.com/ZSeSx64UP/WHUXE57https://vt.tiktok.com/ZSeSx64UP/https://www.facebook.com/lan.emm.2k2https://vt.tiktok.com/ZSeSx64UP/https://www.facebook.com/lan.emm.2k2https://vt.tiktok.com/ZSeSx64UP/,-1,-1,-1,-1,1,-1,-1,-1,
"Hình ảnh chi mang tính chất nhận xu 
Màu đẹp shop đóng gói cẩn thận ghhhhhhh",-1,-1,-1,-1,-1,2,-1,-1,hình ảnh chi mang tính chất nhận xu màu đẹp shop đóng gói cẩn thận
son rẻ nên đánh chơi thôi mà cũng đẹpggffggffffgggggggggggggg,-1,-1,-1,2,-1,-1,-1,-1,son rẻ nên đánh chơi thôi mà cũng
"giao đầy đủ son , còn được tặng chì kẻ nưa 🥰 mua page chính hãng nên rất an tâm",-1,-1,-1,-1,-1,-1,2,-1,giao đầy đủ son còn được tặng chì kẻ nưa mua page chính hãng nên rất an tâm
Hình ảnh mang tính chất nhận xu ^_^^_^^_^^_^^_^^_^^_^^_^♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️😏😕😕😕😕😕😕,-1,-1,-1,-1,1,-1,-1,-1,hình ảnh mang tính chất nhận xu
"Son đẹp , giao chuẩn màu , đóng gói sịn lắm , giao cũng nhanh nữa, 5*",-1,-1,-1,-1,-1,2,2,2,son đẹp giao chuẩn màu đóng gói sịn lắm giao cũng nhanh nữa
"Sonn màu xinh xiu, mùi dễ chịu quá ok.....................    .......",-1,-1,2,-1,-1,2,-1,-1,sonn màu xinh xiu mùi dễ chịu quá
Đơn Quốc tế nên đợi hơi lâu ạ. Nhưng bù lại thì son xinh lắm shop ơi. Cảm ơn shop và Shopee :)),-1,-1,-1,-1,-1,-1,0,-1,đơn quốc tế nên đợi hơi lâu nhưng bù lại thì son xinh lắm shop ơi cảm ơn shop và shopee
"Màu son đẹpp, đỏ hồng 1 tẹo
Hợp răng trắng 
Shop giao hàng nhanh",-1,-1,-1,-1,-1,2,2,-1,màu son đẹpp đỏ hồng tẹo hợp răng trắng shop giao hàng nhanh
"Chuẩn bị hàng hơi lâu xíu, nhưng hàng giao rất nhanh nhé, đóng gói cẩn thận",-1,-1,-1,-1,-1,-1,2,2,chuẩn bị hàng hơi lâu xíu nhưng hàng giao rất nhanh nhé đóng gói cẩn thận
sản phẩm oki nhoá dfgbybybtbtvtvtvtvtvh yvtvtvtvg vgvg g g tvtvrvtvkzjgd gbucgnhvgbtcrcthybtbubtcrvehrbe vvt g fj thế ggfgghhgyhubybyn fbrffnrjfh fbrffnrjfh hehdd,-1,-1,-1,-1,1,-1,-1,-1,sản phẩm oki nhoá g g vvt g fj thế hehdd
"Chất son với mùi của ver này thì mình vẫn luôn ưng rồi. Màu v21 mình vẫn dùng từ trước rồi, lần này có đặt thử thêm v25 thì cũng rất đẹp, v25 nó cũng gần gần như v17, đánh vào mùa đông hợp luôn, màu này dùng đánh lòng môi đẹp lắm",-1,2,-1,-1,-1,2,-1,-1,chất son với mùi của ver này thì mình vẫn luôn ưng rồi màu v21 mình vẫn dùng từ trước rồi lần này có đặt thử thêm v25 thì cũng rất đẹp v25 nó cũng gần gần như v17 đánh vào mùa đông hợp luôn màu này dùng đánh lòng môi đẹp lắm
"Màu lên khá ok, son mịn không lì, mùi hơi hắc nhưng kh sao nhaaaa",0,2,0,-1,-1,2,-1,-1,màu lên khá ok son mịn không lì mùi hơi hắc nhưng kh sao
"Xinh xểu
Chất son mềm mịn, lên màu chuẩn
Mỗi tội giao hàng lâu ơi là lâu",-1,2,-1,-1,-1,2,0,-1,xinh xểu chất son mềm mịn lên màu chuẩn mỗi tội giao hàng lâu ơi là lâu
Mình kh ngờ với 20k có thể oder được chiếc son sịn sò như vậy màu khá ưng chất son mịn và lì sẽ tiếp tục ủng hộ shop lâu dài 💔 ,2,2,-1,2,-1,-1,-1,-1,mình kh ngờ với 20 k có thể oder được chiếc son sịn sò như vậy màu khá ưng chất son mịn và lì sẽ tiếp tục ủng hộ shop lâu dài
Hình ảnh video mang tính chất lấy xu. Chưa cầm được em son trên tay chưa biết sao :((,-1,-1,-1,-1,1,-1,-1,-1,hình ảnh video mang tính chất lấy xu chưa cầm được em son trên tay chưa biết sao
"Son khá bột và sẽ có độ xê dịch nhiều khi bặm môi, nhất là với những màu nude thế này. Mình mua màu này để làm màu base thôi. Với giá này thì mình cũng k kì vọng chất son cho lắm. Ngoài chuyện bị giam hàng ở hải quan từ 12/12 tới nay thì cái gì cũng ok. May mà shop gói hàng chắc chắn.",-1,0,-1,2,-1,-1,0,2,son khá bột và sẽ có độ xê dịch nhiều khi bặm môi nhất là với những màu nude thế này mình mua màu này để làm màu base thôi với giá này thì mình cũng k kì vọng chất son cho lắm ngoài chuyện bị giam hàng ở hải quan từ tới nay thì cái gì cũng ok may mà shop gói hàng chắc chắn
únnsnxnhywbbhsnnznnznznxjxjxkxnjxjxjjxxjxjjjjxjxjjxjxjxnznnznznznnznznnnznzhsuskkcnncbx,-1,-1,-1,-1,1,-1,-1,-1,
"Công dụng: làm đẹp
Kết cấu: mịn dễ tán
Độ bền màu: chắc
Tốt",2,2,-1,-1,-1,-1,-1,-1,công dụng làm đẹp kết cấu mịn dễ tán bền màu chắc tốt
"Son môi mới nhất của Focallure sắp ra mắt !!
  
  [Đôi môi quyến rũ, mềm và mịn như nhung] Son kem dạng nhung lì mới, giúp môi bạn trông mơ màng và mềm như cotton. Khi mới thoa, sẽ cảm giác giống như đất sét, lướt nhẹ sau đó sẽ trở thà
Giao hàng khá lâu",2,2,-1,-1,-1,-1,0,-1,son môi mới nhất của focallure sắp ra mắt đôi môi quyến rũ mềm và mịn như nhung son kem dạng nhung lì mới giúp môi bạn trông mơ màng và mềm như cotton khi mới thoa sẽ cảm giác giống như đất sét lướt nhẹ sau đó sẽ trở thà giao hàng khá lâu
"Son xinh , rẻ , màu yêu lắmm , xa nên giao hơi lâu , recommend mọi ng nên mua",-1,-1,-1,2,-1,2,0,-1,son xinh rẻ màu yêu lắmm xa nên giao hơi lâu recommend mọi ng nên mua
"Hình ảnh minh hoạ thôi. Nhưng đóng gói khá cẩn thận, trông sang, màu rất đẹp. Giao đúng hàng. Okiiiii",-1,-1,-1,-1,-1,2,1,2,hình ảnh minh hoạ thôi nhưng đóng gói khá cẩn thận trông sang màu rất đẹp giao đúng hàng
